station_id,station_name,latitude,longitude,elevation_m
150,TANJUNG_SELOR          INDONES          ,2.9,117.3,50
152,AKONOLINGA                              ,3.8,12.2,671
155,MALANSUANE                              ,4.2,126.7,9
156,"MEULABOH, SUMATRA      INDONES          ",4.3,96.1,0
157,EL PASO                                 ,4.5,-75.5,3265
159,LHOKSEUMAWE/MALIKUS    INDONES          ,5.2,97.2,87
160,PALANQUERO/GERMANOLAND                  ,5.3,-74.7,172
162,GABRE DARE                              ,6.8,44.3,450
163,DAVAO ARPT                              ,7.1,125.7,25
164,DIPLOG                                  ,8.6,123.4,5
165,MONTERIA/BERASTEGOI                     ,8.9,-75.7,26
166,LEKEMTI                                 ,9.1,36.6,1950
167,COCHIN/ERNAKULAM                        ,9.9,76.2,3
168,"CHAGUARAMAS, TRINIDAD                   ",10.7,-61.6,13
170,ZALINGEI            SUDA  ZALI          ,12.9,23.3,900
171,LOS PUENTES HUNDURAS BOGUS =            ,13.2,-87.4,3
178,UBON HATCHATHANI                        ,15.3,104.9,127
179,TUXTLAGUTIERREZ                         ,16.8,-93.1,536
180,COOLIDGE FLD ANTIGUA CARIB I.           ,17.1,-61.8,10
181,"ANNAS HOPE, ST. CROIX VIRGIN I          ",17.7,-65.7,56.5
182,HATINH                                  ,18.4,105.9,3
184,HACIA HIGUEY DOMINICAN REP.             ,18.6,-68.3,100
185,"IN-GUEZZAM,ALGERIA                      ",18.6,5.8,411
187,ZOUAR               CHAD  ZOUA          ,20.5,16.2,776
190,"CDX,S BAZAR                             ",21.4,92,4
191,JEDDAH (KING ABDULAZIZ) AP              ,21.7,39.2,8
194,UBAYLAH (AMOS)         SAUDI A          ,22,50.9,145
196,HONG KONG/KINGS PARK                    ,22.3,114.2,66
197,SAPA                                    ,22.4,103.8,1581
199,SEEB INTERNATIONAL AIRPORT              ,23.6,58.3,-999
200,SAN PEDRO YCUAMANDI PY                  ,24.1,-57.1,80
201,"SULYMAT,AL AIN,ABU DHABI                ",24.2,55.5,225
202,ABU DHABI INTL ARPT                     ,24.4,54.5,5
207,GRAL BRUGUEZ        PY                  ,24.8,-58.8,-999
214,KING FAHAD INTL     SD                  ,26.5,49.8,12
225,FARAHEEL                                ,29.1,48.2,2
226,MAGWA                                   ,29.2,48,46
228,"EXPERIMENTAL FARM,KUWAIT                ",29.3,47.9,21
229,SHUWAIKH/KUWAIT/CLIMAT O                ,29.3,48,11
231,RAUDHATAIN                              ,29.9,47.7,47
236,JERUSALEM/OLD CITY                      ,31.8,35.2,810
237,KADJAKAI                                ,32.2,65.1,-999
243,"YUSHU,QINGHAI                           ",33,96.6,3703
247,DAMASCUS SYRIAN ARAB REPUBLIC           ,33.5,36.2,729
249,NAWOR/OKPAK                             ,33.9,68,3130
253,TLEMCEN             ALGE  TLEM          ,34.9,-1.3,805
254,TONGDA                                  ,35.1,100.3,3289
257,"GOLOMUND,QINGHAI                        ",36.05,94.55,2808
259,HSI NING/SINING                         ,36.6,109.8,2295
262,BLACKSBURG RAOB         VA US           ,37.2,-80.4,654
263,"ROANOKE/MUN., VIRGINIA                  ",37.3,-78,358
268,"DEKHKANABAD, UZBEK     FORMER           ",38.4,66.5,840
269,LENKORAN USSR EUROPEAN                  ,38.7,48.8,0.5
273,"CHELEKEN, TURKMEN      FORMER           ",39.4,53.1,-14
275,"PALMA, MALLORCA/SON BONET               ",39.6,2.7,45
277,"DZHIZAK, UZBEK         FORMER           ",40.1,67.8,392
279,"ANDIZHAN, UZBEK        FORMER           ",40.7,72.3,477
284,ASINARA                                 ,41.1,8.3,115
287,KARDJALI               BULGARI          ,41.6,25.4,243
288,"AKHALTSIKHE, GEORGIA   FORMER           ",41.6,43,982
289,DARBAZA             RA                  ,41.6,69.1,444
290,"TIFLIS, GEORGIA        FORMER           ",41.7,44.8,403
293,KUTAYSI                FORMER           ,42.3,42.6,116
294,"TKIBULI, GEORGIA       FORMER           ",42.3,43,541
305,SHINE USA              MONGOLI          ,42.9,100.2,1494
306,PREOBRAGENIE           FORMER           ,42.9,133.9,34
311,"HANBOGD, SOUTH GOVI                     ",43.2,107.2,914
316,VIDIN                  BULGARI          ,43.8,22.9,33
317,KOMSOMOL'SKNA USTYURTE FORMER           ,43.8,57.5,70
324,"MONGOLIAN STATION, EAST GOVI            ",44.4,108.8,-999
326,AMARBUYANTAYN          MONGOLI          ,44.6,98.7,2103
327,"CHURUK, UZBEK          FORMER           ",44.8,56.8,124
332,KIROVSKIY              FORMER           ,45.1,133.5,95
333,ERDENI                 MONGOLI          ,45.2,97.8,0
339,"TRIESTE,SEE ALSO 161100                 ",45.7,13.8,9
342,YMAN                   FORMER           ,45.9,133.7,105
343,YUZHNOYE               FORMER           ,46,143.4,21
348,KREDARICA              FORMER           ,46.4,13.8,2519
349,ULUNGA-IN-PRIMOR    RA                  ,46.5,137,389
355,"MONGOLIAN STATION, CENTRAL              ",47.6,107.5,-999
358,"SARYUSSKIY, KAZAKH     FORMER           ",48.3,75,780
360,KOMISSAROVKA                            ,48.4,33.9,106
361,BATA-SUMBER            MONGOLI          ,48.4,106.7,1276
365,TERPENIYA              FORMER           ,48.7,144.7,33
366,IVANO-FRANKOVSK                         ,48.9,24.7,276
368,SOVETSKAY GAVAN        SOVIET           ,49,140.3,22
370,HMEL NICKIJ                             ,49.4,27,195
371,TERNOPOLH                               ,49.6,25.6,324
373,ZOLOTONOSA                              ,49.7,32,97
376,ZITOMIR                                 ,50.3,28.6,227
378,POGRANICNOYE           FORMER           ,50.4,143.8,8
381,KIROVSKOYE             FORMER           ,50.7,142.7,95
383,VLADIMR-VOLYNSKIJ                       ,50.8,24.3,193
384,APPROXIMATE LOCALE  RA                  ,50.8,72.2,411
385,SUMY                                    ,50.9,34.8,174
389,CERNIGOV                                ,51.5,31.3,137
393,EKIBASTUZ              KAZAKST          ,51.7,75.4,234
396,ULAN-UDE                                ,51.8,107.4,510
397,GOEREE PLATFORM        NETHERL          ,51.9,3.7,20
400,BERLIN/ALEXANDERPLZ        DL           ,52.5,13.4,84
401,KUSMURUN               KAZAKST          ,52.5,64.7,110
402,LIPECK                                  ,52.6,39.6,150
404,OKTIABR SKAYA                           ,52.7,156.2,-999
405,ZAMOKTA                                 ,52.9,110.5,1255
409,MAGNITOGOSK                             ,53.4,59.1,382
412,UETERSEN          &        DL           ,53.7,9.7,7
416,DORNICK                                 ,54.1,10.4,28
419,DAHMESHOVED         DL                  ,54.2,11.1,8
422,UFA                                     ,54.8,56,197
423,OSTROV BOL SOJ SANTAR                   ,54.8,137.5,17
426,NIZE-UDINSK                             ,54.9,99,410
428,DOLINOVKA              FORMER           ,55.1,159.1,100
431,NIZNEAGARSK                             ,55.8,109.6,475
435,YSHIM                  FORMER           ,56.1,69.4,83
436,KOZYREVSK              FORMER           ,56.1,159.9,45
437,GOR'KIJ U.S.S.R.                        ,56.2,43.8,82
438,USTHKAMCATSK                            ,56.2,162.5,6
444,SUSCHEVO               SOVIET           ,57,29.9,108
449,TYUMEN                 FORMER           ,57.2,65.5,104
451,SHAMARY                FORMER           ,57.4,58.2,244
452,YARKOVO                FORMER           ,57.4,67.1,50
453,JAROSLAVL              FORMER           ,57.6,39.9,103
455,STARAIA RUSSA          FORMER           ,58,31.3,25
460,BOROVICHI              FORMER           ,58.4,33.9,92
462,UST VAJAMPOLKA                          ,58.5,159.2,7
464,MALAYA VISHERA          LE RS           ,58.9,32.2,61
465,TYANYA                 FORMER           ,59.1,119.8,190
470,TAKHTOYAMSK            FORMER           ,60.2,154.7,5
473,SYDPROVEN              GREENLA          ,60.5,-45.6,18
474,UGUT                   FORMER           ,60.5,74,48
478,CHEMURNAUT             FORMER           ,60.9,163.6,14
481,LARYAK                 FORMER           ,61.1,80.3,55
482,BAIKIT                 FORMER           ,61.7,96.4,179
484,BERGDIGYASTYAKH        FORMER           ,62.1,126.7,210
485,KONDINSKOE             FORMER           ,62.5,66,38
488,SLAVUTNOYE             FORMER           ,63.2,168,44
490,TALKA                  FORMER           ,63.8,82.7,33
495,DYE 2 (SOB STORY)                       ,65.3,-43.8,2438
496,DYE 2 (BIG GUN )                        ,65.5,-37.2,36
498,SHELAGONTSI USSR ASIA                   ,66.3,114.3,235
499,DYE 2 (SEA BASS )                       ,66.5,-46.3,2134
521,OSTROV ANDREYA         FORMER           ,76.8,110.8,6
523,OSTROV GEYBERGA        FORMER           ,77.6,101.5,6
526,BUKHTA TIKHAYA USSR                     ,80.3,52.8,6
530,NORTH POLE 8                            ,83.9,-161.9,-999
531,T-3 ICE ISLAND BOGUS WMO =              ,85.6,-119.8,4
532,                                        ,-999,-999,-999
533,                                        ,-999,-999,-999
537,                                        ,-999,-999,-999
539,                                        ,-999,-999,-999
545,                                        ,-999,-999,-999
548,                                        ,-999,-999,-999
551,                                        ,-999,-999,-999
