station_id,station_name,latitude,longitude,elevation_m,country,,,
5897,GOYAZ                                   ,-15.92,-50.12,520,Brazil                                  ,            ,                    ,            
5913,CUYABA                                  ,-15.58,-56.08,165,Brazil                                  ,            ,                    ,            
5918,MATTO GROSSO                            ,-15,-59.95,256,Brazil                                  ,            ,                    ,            
5927,CAETITE                                 ,-14.03,-42.62,897,Brazil                                  ,            ,                    ,            
5965,MACEIO                                  ,-9.65,-35.7,46,Brazil                                  ,            ,                    ,            
5968,JOAZEIRO                                ,-9.4,-40.5,371,Brazil                                  ,            ,                    ,            
5979,GARANHUNS                               ,-8.88,-36.4,861,Brazil                                  ,            ,                    ,            
5999,PARAHYBA                                ,-7.1,-34.85,27,Brazil                                  ,            ,                    ,            
6014,NATAL                                   ,-5.77,-35.3,28,Brazil                                  ,            ,                    ,            
6026,THEREZINA                               ,-5.07,-42.8,70,Brazil                                  ,            ,                    ,            
6042,SOBRAL                                  ,-3.68,-40.33,65,Brazil                                  ,            ,                    ,            
6049,MANAOS                                  ,-3.12,-60.02,44,Brazil                                  ,            ,                    ,            
6058,TAPERINHA                               ,-2.5,-54.33,20,Brazil                                  ,            ,                    ,            
6171,TAVOY                                   ,14.07,98.3,8,Burma / Myanmar                         ,            ,                    ,            
6175,DIAMOND ISLAND                          ,15.87,94.32,12,Burma / Myanmar                         ,            ,                    ,            
6219,BHAMO                                   ,24.2,96.97,-999,Burma / Myanmar                         ,            ,                    ,            
6236,PNOM-PENH                               ,10.58,102.6,13,Cambodia                                ,            ,                    ,            
6238,KAMPOT                                  ,10.62,101.83,2,Cambodia                                ,            ,                    ,            
6244,PURSAT                                  ,12.57,101.58,-999,Cambodia                                ,            ,                    ,            
11200,STA CRUZ DE TENERIFFE                   ,-999,-999,-999,Canary Islands [Spain]                  ,            ,                    ,            
11208,SAINT VINCENT (MINDELO)                 ,16.9,-25.07,11,Cape Verde                              ,            ,                    ,            
11235,GRANJA AGRICOLA                         ,-999,-999,-999,Ceuta and Melilla [Spain]               ,            ,                    ,            
11236,PUERTO                                  ,-999,-999,-999,Ceuta and Melilla [Spain]               ,            ,                    ,            
11237,CEUTA                                   ,-999,-999,-999,Ceuta and Melilla [Spain]               ,            ,                    ,            
11246,FORT LAMY                               ,12.28,12.48,300,Chad                                    ,            ,                    ,            
11264,CABO SAN ISI                            ,-53.78,-70.97,20,Chile                                   ,            ,                    ,            
11273,PUNTA DUNGEN                            ,-52.4,-68.4,5,Chile                                   ,            ,                    ,            
11280,CABO RAPER                              ,-46.83,-75.6,40,Chile                                   ,            ,                    ,            
11292,ISLA HUAFO (                            ,-43.53,-74.75,140,Chile                                   ,            ,                    ,            
11303,PUERTO MONTT                            ,-41.47,-72.94,61.5,Chile                                   ,            ,                    ,            
11305,FRUTILLAR                               ,-41.12,-72.98,139,Chile                                   ,            ,                    ,            
11310,VALDIVIA (PI                            ,-39.62,-73.07,50,Chile                                   ,            ,                    ,            
11314,LONQUIMAY                               ,-38.43,-71.25,900,Chile                                   ,            ,                    ,            
11316,ISLA MOCHA (                            ,-38.35,-73.97,20,Chile                                   ,            ,                    ,            
11319,CONTULMO                                ,-38.03,-73.22,30,Chile                                   ,            ,                    ,            
11322,ISLA SANTA M                            ,-36.98,-73.53,79,Chile                                   ,            ,                    ,            
11323,CONCEPCION                              ,-36.83,-73.03,15,Chile                                   ,            ,                    ,            
11328,PUNTA CARRAN                            ,-35.6,-73.63,30,Chile                                   ,            ,                    ,            
11329,SAN FERNANDO                            ,-35.58,-71.08,337,Chile                                   ,            ,                    ,            
11330,TALCA                                   ,-35.43,-71.67,97,Chile                                   ,            ,                    ,            
11341,ISLA JUAN FE                            ,-33.62,-78.87,6,Chile                                   ,            ,                    ,            
11354,COQUIMBO (PU                            ,-29.93,-71.37,25,Chile                                   ,            ,                    ,            
11364,CALDERA                                 ,-27.05,-70.25,14,Chile                                   ,            ,                    ,            
11365,POTRERILLOS                             ,-26.5,-69.45,2889,Chile                                   ,            ,                    ,            
11372,IQUIQUE (ISL                            ,-20.23,-70.15,8,Chile                                   ,            ,                    ,            
11373,ARICA (CHACA                            ,-18.5,-70.32,100,Chile                                   ,            ,                    ,            
11380,PUERTO MONTT                            ,-999,-999,-999,Chile                                   ,            ,                    ,            
11542,YUNNAN-FOU                              ,25.1,100.53,1980,China                                   ,            ,                    ,            
12540,KASHGAR                                 ,-999,-999,-999,China                                   ,            ,                    ,            
12541,GYANTSE                                 ,-999,-999,-999,China                                   ,            ,                    ,            
12563,COCOS-KEELING IS.                       ,-12.08,-96.9,4,Cocos (Keeling) Islands [Australia]     ,            ,                    ,            
12564,APTO LA FLOR                            ,-8.7,-75.18,30,Colombia                                ,            ,                    ,            
12566,ING MANUELIT                            ,-3.57,-76.28,1020,Colombia                                ,            ,                    ,            
12570,APTO SAN LUI                            ,0.82,-77.63,2961,Colombia                                ,            ,                    ,            
12580,MANUEL MEJIA                            ,2.43,-76.8,1750,Colombia                                ,            ,                    ,            
12581,POPAYAN (LA                             ,2.43,-76.6,1789,Colombia                                ,            ,                    ,            
12582,APTO G L VAL                            ,2.43,-76.58,1730,Colombia                                ,            ,                    ,            
12583,POPAYAN (AER                            ,2.45,-76.67,1730,Colombia                                ,            ,                    ,            
12584,POPAYAN (UNI                            ,2.45,-76.6,1738,Colombia                                ,            ,                    ,            
12589,NEIVA                                   ,2.93,-75.3,442,Colombia                                ,            ,                    ,            
12591,APTO BENITO                             ,2.97,-75.3,439,Colombia                                ,            ,                    ,            
12592,SANTANDER                               ,3.02,-76.47,1115,Colombia                                ,            ,                    ,            
12595,BAJO CALIMA                             ,4,-76.95,50,Colombia                                ,            ,                    ,            
12598,VILLAVICENCI                            ,4.15,-73.63,-999,Colombia                                ,            ,                    ,            
12600,APTO VANGUAR                            ,4.17,-73.12,423,Colombia                                ,            ,                    ,            
12609,BOGOTA                                  ,4.58,-74.07,2645,Colombia                                ,            ,                    ,            
12610,OBS MET NACI                            ,4.63,-74.1,2556,Colombia                                ,            ,                    ,            
12619,EL RUIS-GUAL                            ,4.97,-75.35,4200,Colombia                                ,            ,                    ,            
12621,FACULTAD AGR                            ,5.07,-75.68,2153,Colombia                                ,            ,                    ,            
12622,APTO. SANTAG                            ,5.08,-75.65,1120,Colombia                                ,            ,                    ,            
12623,LA ESPERANZA                            ,5.08,-75.37,3250,Colombia                                ,            ,                    ,            
12624,ANDAGOYA                                ,5.1,-76.7,35,Colombia                                ,            ,                    ,            
12625,LLANADAS - M                            ,5.18,-75.18,1870,Colombia                                ,            ,                    ,            
12628,BELENCITO -                             ,5.78,-72.88,2550,Colombia                                ,            ,                    ,            
12635,APTO OLAYA H                            ,6.22,-75.6,1490,Colombia                                ,            ,                    ,            
12638,MACEO                                   ,6.55,-74.78,950,Colombia                                ,            ,                    ,            
12639,EL CENTRO                               ,6.93,-73.77,114,Colombia                                ,            ,                    ,            
12640,TROPICAL                                ,6.93,-73.67,44,Colombia                                ,            ,                    ,            
12644,APTO OTU                                ,7.02,-74.72,630,Colombia                                ,            ,                    ,            
12645,APTO YARIGUI                            ,7.02,-73.8,126,Colombia                                ,            ,                    ,            
12651,SAN ISIDRO -                            ,7.35,-72.55,215,Colombia                                ,            ,                    ,            
12652,VILLA ARTEAG                            ,7.38,-76.52,132,Colombia                                ,            ,                    ,            
12653,CHINACOTA (B                            ,7.58,-72.63,1235,Colombia                                ,            ,                    ,            
12655,SALAZAR                                 ,7.77,-72.82,870,Colombia                                ,            ,                    ,            
12658,APTO CAMILO                             ,7.93,-72.52,250,Colombia                                ,            ,                    ,            
12659,LA SOLEDAD                              ,8.08,-73.22,1394,Colombia                                ,            ,                    ,            
12661,RIO DE ORO                              ,8.43,-73.3,1,Colombia                                ,            ,                    ,            
12662,TIBU                                    ,8.65,-72.7,50,Colombia                                ,            ,                    ,            
12666,APTO RAFAEL                             ,9.33,-75.28,166,Colombia                                ,            ,                    ,            
12669,CARTAGENA (U                            ,10.38,-75.52,4,Colombia                                ,            ,                    ,            
12671,APTO RAFAEL                             ,10.45,-75.52,2,Colombia                                ,            ,                    ,            
12673,APTO E CORTI                            ,10.88,-74.78,14,Colombia                                ,            ,                    ,            
12678,URIBIA                                  ,11.72,-72.23,23,Colombia                                ,            ,                    ,            
12679,MANAURE                                 ,11.77,-72.45,1,Colombia                                ,            ,                    ,            
12682,SANTA ROSA D                            ,-999,-999,-999,Colombia                                ,            ,                    ,            
12683,CACHIRA                                 ,-999,-999,-999,Colombia                                ,            ,                    ,            
12684,PEREIRA                                 ,-999,-999,-999,Colombia                                ,            ,                    ,            
12685,BOLIVAR                                 ,-999,-999,-999,Colombia                                ,            ,                    ,            
12686,VILLANUEVA                              ,-999,-999,-999,Colombia                                ,            ,                    ,            
12687,BARRANCABERM                            ,-999,-999,-999,Colombia                                ,            ,                    ,            
12688,PAMPLONA                                ,-999,-999,-999,Colombia                                ,            ,                    ,            
12689,CALI                                    ,-999,-999,-999,Colombia                                ,            ,                    ,            
12690,BUCARAMANGA                             ,-999,-999,-999,Colombia                                ,            ,                    ,            
12691,OCANA                                   ,-999,-999,-999,Colombia                                ,            ,                    ,            
