station_id,station_name,latitude,longitude,elevation_m
82324,VALDIVIA                                ,-39.63333,-73.08333,19
82325,RIO COLORADO                            ,-39.01667,-64.08333,79
82326,NEW PLYMOUTH AWS                        ,-39.01667,174.18333,32
82327,NEW PLYMOUTH AERODROME                  ,-39.01667,174.18333,36
82328,NEUQUEN AERO                            ,-38.95,-68.13333,271
82329,TEMUCO                                  ,-38.76667,-72.63333,93
82330,COMANDANTE ESPORA B.A.                  ,-38.73333,-62.16667,74
82331,BAHIA BLANCA AERO                       ,-38.73333,-62.16667,83
82332,GISBORNE AERODROME                      ,-38.66667,177.98333,8
82333,GISBORNE AERODROME AWS                  ,-38.65,177.98333,5
82334,TRES ARROYOS                            ,-38.33333,-60.25,115
82335,ROTORUA AERODROME                       ,-38.11667,179.31667,288
82336,EAST SALE AERODROME                     ,-38.1,147.13333,8
82337,MAR DEL PLATA AERO                      ,-37.93333,-57.58333,21
82338,LAVERTON AERODROME                      ,-37.85,144.73333,21
82339,MARTIN DE VIVIES (ILE AMSTER            ,-37.8,77.53333,29
82340,MOUNT GAMBIER AERO (AMO)                ,-37.73333,140.78333,69
82341,PIGUE AERO                              ,-37.6,-62.38333,304
82342,GENERAL ACHA                            ,-37.36667,-64.58333,219
82343,TANDIL AERO                             ,-37.23333,-59.25,175
82344,AUCKLAND AIRPORT                        ,-37.01667,174.8,6
82345,AZUL AERO                               ,-36.83333,-59.88333,147
82346,CONCEPCION                              ,-36.76667,-73.06667,13
82347,AZUL AERO                               ,-36.75,-59.83333,132
82348,CHILLAN                                 ,-36.58333,-72.03333,148
82349,SANTA ROSA AERO                         ,-36.56667,-64.26667,191
82350,DOLORES AERO                            ,-36.35,-57.73333,9
82351,BOLIVAR AERO                            ,-36.2,-61.06667,934
82352,LAS FLORES AERO                         ,-36.06667,-59.1,38
82353,PEHUAJO AERO                            ,-35.86667,-61.9,87
82354,GENERAL PICO AERO                       ,-35.7,-63.75,145
82355,MALARGUE AERO                           ,-35.5,-69.58333,1425
82356,NUEVE DE JULIO                          ,-35.45,-60.88333,76
82357,PUNTA INDIO B.A.                        ,-35.36667,-57.28333,22
82358,GANBERRA AMO                            ,-35.3,149.2,580
82359,WAGGA AIRPORT                           ,-35.16667,147.45,213
82360,KAITAIA                                 ,-35.1,173.26667,54
82361,CURICO                                  ,-34.96667,-71.21667,220
82362,LA PLATA AERO                           ,-34.96667,-57.9,19
82363,ALBANY AIRPORT                          ,-34.93333,117.8,69
82364,ADELAIDE AIRPORT                        ,-34.93333,138.51667,4
82365,CARRASCO                                ,-34.83333,-56,32
82366,EZEIZA AERO                             ,-34.81667,-58.53333,20
82367,SAN RAFAEL AERO                         ,-34.58333,-68.4,748
82368,BUENOS AIRES OBSERVATORIO               ,-34.58333,-58.48333,25
82369,AEROPARQUE BS. AS. AERO                 ,-34.56667,-58.41667,6
82370,JUNIN AERO                              ,-34.55,-60.95,81
82371,ROCHA                                   ,-34.48333,-54.3,18
82372,COLONIA                                 ,-34.45,-57.83333,23
82373,MILDURA AIRPORT                         ,-34.23333,142.08333,52
82374,LABOULAYE                               ,-34.13333,-63.36667,137
82375,GEORGE AIRPORT                          ,-34.01667,22.38333,190
82376,PORT ELIZABETH                          ,-33.98333,24.61667,65
82377,CAPE TOWN INTNL. AIRPORT                ,-33.96667,18.6,42
82378,SYDNEY AIRPORT                          ,-33.93333,151.16667,5
82379,ESPERANCE                               ,-33.81667,121.88333,26
82380,VILLA REYNOLDS AERO                     ,-33.73333,-65.38333,486
82381,ISLA JUAN FERNANDEZ                     ,-33.61667,-78.81667,30
82382,ST.VITORIA DO PALMAR                    ,-33.51667,-53.35,24
82383,SANTIAGO QUINTA NORMAL                  ,-33.43333,-70.68333,520
82384,PUDAHUEL                                ,-33.38333,-70.78333,474
82385,SAN LUIS AERO                           ,-33.26667,-66.35,713
82386,MERCEDES                                ,-33.25,-58.06667,17
82387,TREINTA Y TRES                          ,-33.21667,-54.38333,46
82388,RIO CUARTO AERO                         ,-33.11667,-64.23333,420
82389,SAN MARTIN                              ,-33.08333,-68.41667,653
82390,EAST LONDON                             ,-33.03333,27.83333,125
82391,GUALEGUAYCHU AERO                       ,-33,-58.61667,21
82392,ROSARIO AERO                            ,-32.91667,-60.78333,25
82393,MENDOZA AERO                            ,-32.83333,-68.78333,704
82394,PASO DE LOS TOROS                       ,-32.8,-56.51667,75
82395,WILLIAMTOWN AERODROME                   ,-32.8,151.83333,8
82396,QUINTERO                                ,-32.78333,-71.51667,5
82397,MARCOS JUAREZ AERO                      ,-32.7,-62.15,114
82398,MELO                                    ,-32.36667,-54.21667,100
82399,PAYSANDU                                ,-32.33333,-58.03333,61
